
Analyzing odd numbers 1 to 65535 (k=16):

Decimal  Binary             Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin           
-------- ------------------ ---------- ---------- ---------- ------------ -------- ------------------
3        0000000000000011   2          3          1          3            1        0000000000000001  
5        0000000000000101   1          3          0          3            1        0000000000000001  
7        0000000000000111   3          5          2          1            13       0000000000001101  
9        0000000000001001   1          4          0          1            7        0000000000000111  
11       0000000000001011   2          5          1          1            13       0000000000001101  
13       0000000000001101   1          4          0          2            5        0000000000000101  
15       0000000000001111   4          6          2          4            5        0000000000000101  
17       0000000000010001   1          5          0          1            13       0000000000001101  
19       0000000000010011   2          5          0          2            11       0000000000001011  
21       0000000000010101   1          5          0          5            1        0000000000000001  
23       0000000000010111   3          6          1          4            5        0000000000000101  
25       0000000000011001   1          5          0          1            19       0000000000010011  
27       0000000000011011   2          6          1          1            31       0000000000011111  
29       0000000000011101   1          5          0          2            11       0000000000001011  
31       0000000000011111   5          8          3          1            121      0000000001111001  
33       0000000000100001   1          6          0          1            25       0000000000011001  
35       0000000000100011   2          6          0          4            5        0000000000000101  
37       0000000000100101   1          6          0          3            7        0000000000000111  
39       0000000000100111   3          7          1          1            67       0000000001000011  
41       0000000000101001   1          6          0          1            31       0000000000011111  
43       0000000000101011   2          7          1          1            49       0000000000110001  
45       0000000000101101   1          6          0          2            17       0000000000010001  
47       0000000000101111   4          8          2          1            121      0000000001111001  
49       0000000000110001   1          6          0          1            37       0000000000100101  
51       0000000000110011   2          7          1          2            29       0000000000011101  
53       0000000000110101   1          6          0          4            5        0000000000000101  
55       0000000000110111   3          7          1          2            47       0000000000101111  
57       0000000000111001   1          6          0          1            43       0000000000101011  
59       0000000000111011   2          7          1          1            67       0000000001000011  
61       0000000000111101   1          6          0          2            23       0000000000010111  
63       0000000000111111   6          9          3          3            91       0000000001011011  
65       0000000001000001   1          7          0          1            49       0000000000110001  
67       0000000001000011   2          7          0          3            19       0000000000010011  
69       0000000001000101   1          7          0          3            13       0000000000001101  
71       0000000001000111   3          8          1          1            121      0000000001111001  
73       0000000001001001   1          7          0          1            55       0000000000110111  
75       0000000001001011   2          7          0          1            85       0000000001010101  
77       0000000001001101   1          7          0          2            29       0000000000011101  
79       0000000001001111   4          9          2          2            101      0000000001100101  
81       0000000001010001   1          7          0          1            61       0000000000111101  
83       0000000001010011   2          7          0          2            47       0000000000101111  
85       0000000001010101   1          7          0          7            1        0000000000000001  
87       0000000001010111   3          8          1          3            37       0000000000100101  
89       0000000001011001   1          7          0          1            67       0000000001000011  
91       0000000001011011   2          8          1          1            103      0000000001100111  
93       0000000001011101   1          7          0          2            35       0000000000100011  
95       0000000001011111   5          9          2          3            91       0000000001011011  
97       0000000001100001   1          7          0          1            73       0000000001001001  
99       0000000001100011   2          8          1          5            7        0000000000000111  
101      0000000001100101   1          7          0          3            19       0000000000010011  
103      0000000001100111   3          8          1          1            175      0000000010101111  
105      0000000001101001   1          7          0          1            79       0000000001001111  
107      0000000001101011   2          8          1          1            121      0000000001111001  
109      0000000001101101   1          7          0          2            41       0000000000101001  
111      0000000001101111   4          9          2          1            283      0000000100011011  
113      0000000001110001   1          7          0          1            85       0000000001010101  
115      0000000001110011   2          8          1          2            65       0000000001000001  
117      0000000001110101   1          7          0          4            11       0000000000001011  
119      0000000001110111   3          9          2          2            101      0000000001100101  
121      0000000001111001   1          7          0          1            91       0000000001011011  
123      0000000001111011   2          8          1          1            139      0000000010001011  
125      0000000001111101   1          7          0          2            47       0000000000101111  
127      0000000001111111   7          11         4          1            1093     0000010001000101  
129      0000000010000001   1          8          0          1            97       0000000001100001  
131      0000000010000011   2          8          0          3            37       0000000000100101  
133      0000000010000101   1          8          0          3            25       0000000000011001  
135      0000000010000111   3          9          1          1            229      0000000011100101  
137      0000000010001001   1          8          0          1            103      0000000001100111  
139      0000000010001011   2          8          0          1            157      0000000010011101  
141      0000000010001101   1          8          0          2            53       0000000000110101  
143      0000000010001111   4          9          1          3            91       0000000001011011  
145      0000000010010001   1          8          0          1            109      0000000001101101  
147      0000000010010011   2          8          0          2            83       0000000001010011  
149      0000000010010101   1          8          0          5            7        0000000000000111  
151      0000000010010111   3          9          1          9            1        0000000000000001  
153      0000000010011001   1          8          0          1            115      0000000001110011  
155      0000000010011011   2          8          0          1            175      0000000010101111  
157      0000000010011101   1          8          0          2            59       0000000000111011  
159      0000000010011111   5          10         2          1            607      0000001001011111  
161      0000000010100001   1          8          0          1            121      0000000001111001  
163      0000000010100011   2          8          0          4            23       0000000000010111  
165      0000000010100101   1          8          0          3            31       0000000000011111  
167      0000000010100111   3          9          1          1            283      0000000100011011  
169      0000000010101001   1          8          0          1            127      0000000001111111  
