
Analyzing odd numbers 1 to 255 (k=8):

Decimal  Binary     Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin   
-------- ---------- ---------- ---------- ---------- ------------ -------- ----------
3        00000011   2          3          1          3            1        00000001  
5        00000101   1          3          0          3            1        00000001  
7        00000111   3          5          2          1            13       00001101  
9        00001001   1          4          0          1            7        00000111  
11       00001011   2          5          1          1            13       00001101  
13       00001101   1          4          0          2            5        00000101  
15       00001111   4          6          2          4            5        00000101  
17       00010001   1          5          0          1            13       00001101  
19       00010011   2          5          0          2            11       00001011  
21       00010101   1          5          0          5            1        00000001  
23       00010111   3          6          1          4            5        00000101  
25       00011001   1          5          0          1            19       00010011  
27       00011011   2          6          1          1            31       00011111  
29       00011101   1          5          0          2            11       00001011  
31       00011111   5          8          3          1            121      01111001  
33       00100001   1          6          0          1            25       00011001  
35       00100011   2          6          0          4            5        00000101  
37       00100101   1          6          0          3            7        00000111  
39       00100111   3          7          1          1            67       01000011  
41       00101001   1          6          0          1            31       00011111  
43       00101011   2          7          1          1            49       00110001  
45       00101101   1          6          0          2            17       00010001  
47       00101111   4          8          2          1            121      01111001  
49       00110001   1          6          0          1            37       00100101  
51       00110011   2          7          1          2            29       00011101  
53       00110101   1          6          0          4            5        00000101  
55       00110111   3          7          1          2            47       00101111  
57       00111001   1          6          0          1            43       00101011  
59       00111011   2          7          1          1            67       01000011  
61       00111101   1          6          0          2            23       00010111  
63       00111111   6          9          3          3            91       01011011  
65       01000001   1          7          0          1            49       00110001  
67       01000011   2          7          0          3            19       00010011  
69       01000101   1          7          0          3            13       00001101  
71       01000111   3          8          1          1            121      01111001  
73       01001001   1          7          0          1            55       00110111  
75       01001011   2          7          0          1            85       01010101  
77       01001101   1          7          0          2            29       00011101  
79       01001111   4          9          2          2            101      01100101  
81       01010001   1          7          0          1            61       00111101  
83       01010011   2          7          0          2            47       00101111  
85       01010101   1          7          0          7            1        00000001  
87       01010111   3          8          1          3            37       00100101  
89       01011001   1          7          0          1            67       01000011  
91       01011011   2          8          1          1            103      01100111  
93       01011101   1          7          0          2            35       00100011  
95       01011111   5          9          2          3            91       01011011  
97       01100001   1          7          0          1            73       01001001  
99       01100011   2          8          1          5            7        00000111  
101      01100101   1          7          0          3            19       00010011  
103      01100111   3          8          1          1            175      10101111  
105      01101001   1          7          0          1            79       01001111  
107      01101011   2          8          1          1            121      01111001  
109      01101101   1          7          0          2            41       00101001  
111      01101111   4          9          2          1            283      100011011 
113      01110001   1          7          0          1            85       01010101  
115      01110011   2          8          1          2            65       01000001  
117      01110101   1          7          0          4            11       00001011  
119      01110111   3          9          2          2            101      01100101  
121      01111001   1          7          0          1            91       01011011  
123      01111011   2          8          1          1            139      10001011  
125      01111101   1          7          0          2            47       00101111  
127      01111111   7          11         4          1            1093     10001000101
129      10000001   1          8          0          1            97       01100001  
131      10000011   2          8          0          3            37       00100101  
133      10000101   1          8          0          3            25       00011001  
135      10000111   3          9          1          1            229      11100101  
137      10001001   1          8          0          1            103      01100111  
139      10001011   2          8          0          1            157      10011101  
141      10001101   1          8          0          2            53       00110101  
143      10001111   4          9          1          3            91       01011011  
145      10010001   1          8          0          1            109      01101101  
147      10010011   2          8          0          2            83       01010011  
149      10010101   1          8          0          5            7        00000111  
151      10010111   3          9          1          9            1        00000001  
153      10011001   1          8          0          1            115      01110011  
155      10011011   2          8          0          1            175      10101111  
157      10011101   1          8          0          2            59       00111011  
159      10011111   5          10         2          1            607      1001011111
161      10100001   1          8          0          1            121      01111001  
163      10100011   2          8          0          4            23       00010111  
165      10100101   1          8          0          3            31       00011111  
167      10100111   3          9          1          1            283      100011011 
169      10101001   1          8          0          1            127      01111111  
171      10101011   2          9          1          1            193      11000001  
173      10101101   1          8          0          2            65       01000001  
175      10101111   4          10         2          1            445      110111101 
177      10110001   1          8          0          1            133      10000101  
179      10110011   2          9          1          2            101      01100101  
181      10110101   1          8          0          4            17       00010001  
183      10110111   3          9          1          2            155      10011011  
185      10111001   1          8          0          1            139      10001011  
187      10111011   2          9          1          1            211      11010011  
189      10111101   1          8          0          2            71       01000111  
191      10111111   6          11         3          1            1093     10001000101
193      11000001   1          8          0          1            145      10010001  
195      11000011   2          9          1          3            55       00110111  
197      11000101   1          8          0          3            37       00100101  
199      11000111   3          9          1          1            337      101010001 
201      11001001   1          8          0          1            151      10010111  
203      11001011   2          9          1          1            229      11100101  
205      11001101   1          8          0          2            77       01001101  
207      11001111   4          10         2          2            263      100000111 
209      11010001   1          8          0          1            157      10011101  
211      11010011   2          9          1          2            119      01110111  
213      11010101   1          8          0          6            5        00000101  
215      11010111   3          9          1          3            91       01011011  
217      11011001   1          8          0          1            163      10100011  
219      11011011   2          9          1          1            247      11110111  
221      11011101   1          8          0          2            83       01010011  
223      11011111   5          11         3          2            425      110101001 
225      11100001   1          8          0          1            169      10101001  
227      11100011   2          9          1          9            1        00000001  
229      11100101   1          8          0          3            43       00101011  
231      11100111   3          10         2          1            391      110000111 
233      11101001   1          8          0          1            175      10101111  
235      11101011   2          9          1          1            265      100001001 
237      11101101   1          8          0          2            89       01011001  
239      11101111   4          10         2          1            607      1001011111
241      11110001   1          8          0          1            181      10110101  
243      11110011   2          9          1          2            137      10001001  
245      11110101   1          8          0          4            23       00010111  
247      11110111   3          10         2          2            209      11010001  
249      11111001   1          8          0          1            187      10111011  
251      11111011   2          9          1          1            283      100011011 
253      11111101   1          8          0          2            95       01011111  
255      11111111   8          13         5          5            205      11001101  

Summary:
All 127 odd numbers exhibited extra zero dominance (removing more zeros than the guaranteed minimum)!
